Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y,obs_x
79,3.8067913082871536,1.2179270676329184,3.8067913082871527,1.2179270676329184,0.02527733764250336,0.0003474120607833964,5.978862876254181
80,3.8067913082871536,1.2179270676329184,3.806791308287153,1.2179270676329184,0.025917324941745368,0.0003514440341117693,5.978595317725753
81,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.02656531441501387,0.00035513761411095783,5.978327759197325
82,3.8067913082871536,1.2179270676329184,3.806791308287153,1.2179270676329184,0.0272213057830896,0.0003585028793503544,5.978060200668897
83,3.8067913082871536,1.2179270676329184,3.806791308287153,1.2179270676329184,0.027885298788492684,0.00036155062864861356,5.977792642140468
84,3.8067913082871536,1.2179270676329184,3.806791308287153,1.2179270676329184,0.028557293195310043,0.00036429238104188094,5.97752508361204
85,3.8067913082871536,1.2179270676329184,3.806791308287155,1.2179270676329184,0.0292372887889148,0.0003667403757542044,5.977257525083612
86,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.029925285375577624,0.00036890757217019916,5.976989966555184
87,3.8067913082871536,1.2179270676329184,3.8067913082871523,1.2179270676329184,0.030621282781970034,0.00037080764981001565,5.976722408026756
88,3.8067913082871536,1.2179270676329184,3.8067913082871545,1.2179270676329184,0.03132528085455971,0.0003724550083066353,5.976454849498328
89,3.8067913082871536,1.2179270676329184,3.8067913082871527,1.2179270676329184,0.03203727945889777,0.0003738647673854983,5.9761872909699
90,3.8067913082871536,1.2179270676329184,3.806791308287155,1.2179270676329184,0.032757278478797995,0.0003750527668464434,5.975919732441471
91,3.8067913082871536,1.2179270676329184,3.8067913082871545,1.2179270676329184,0.033485277815408096,0.00037603556654791794,5.975652173913043
92,3.8067913082871536,1.2179270676329184,3.8067913082871523,1.2179270676329184,0.034221277386172935,0.00037683044639339326,5.975384615384615
93,3.8067913082871536,1.2179270676329184,3.806791308287154,1.2179270676329184,0.03496527712368975,0.000377455406319898,5.975117056856187
94,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.035717276974455356,0.00037792916628855876,5.974849498327759
95,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.03647727689750536,0.00037827116627701626,5.974581939799331
96,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.03724527686294536,0.00037850156627356027,5.974314381270903
97,3.8067913082871536,1.2179270676329184,3.8067913082871545,1.2179270676329184,0.03802127685037416,0.000378641246272806,5.974046822742475
98,3.8067913082871536,1.2179270676329184,3.8067913082871527,1.2179270676329184,0.03880527684719896,0.00037871180627271076,5.973779264214047
99,3.8067913082871536,1.2179270676329184,3.806791308287153,1.2179270676329184,0.03959727684684256,0.0003787355662727072,5.973511705685619
100,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.040397276846842564,0.0003787355662727072,5.973244147157191
101,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.04120527684684257,0.0003787355662727072,5.972976588628763
102,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.042021276846475365,0.00037876004627270356,5.972709030100335
103,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.042845276843138165,0.0003788342062726035,5.972441471571907
104,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.043677276829659765,0.0003789839662717948,5.972173913043478
105,3.452003532130725,1.385379380961449,3.4520035321307243,1.385379380961449,0.04451727679185977,0.0003792359662680148,5.97190635451505
106,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.04536527670599977,0.0003796175662551358,5.971638795986622
107,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.04622127653612657,0.00038015684621946243,5.971371237458194
108,3.452003532130725,1.385379380961449,3.4520035321307265,1.385379380961449,0.04708527623130739,0.0003808826061341131,5.971103678929766
109,3.452003532130725,1.385379380961449,3.4520035321307256,1.385379380961449,0.04795727572275704,0.00038182436595103495,5.970836120401338
110,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.04883727492085717,0.00038301236559018,5.97056856187291
111,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.04972527371206744,0.0003844775649253456,5.970301003344481
112,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.05062127195572882,0.00038625164376616196,5.970033444816053
113,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.05152526948075875,0.00038836700183568496,5.969765886287625
114,3.452003532130725,1.385379380961449,3.4520035321307243,1.385379380961449,0.05243726608223846,0.0003908567587430307,5.969498327759197
115,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.05335726151789224,0.0003937547539504656,5.969230769230769
116,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.054285255504458736,0.0003970955467343423,5.968963210702341
117,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.05522124771395434,0.00040091441613925044,5.968695652173913
118,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.0561652377698286,0.00040524736092472735,5.9684280936454845
119,3.452003532130725,1.385379380961449,3.452003532130725,1.385379380961449,0.057117225243011674,0.0004101310995038516,5.968160535117057
120,3.452003532130725,1.385379380961449,3.4520035321307243,1.385379380961449,0.0580772096478539,0.00041560306987301976,5.967892976588629
121,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.05904519043795744,0.0004217014295321838,5.967625418060201
122,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.060021167001900036,0.00042846505539480457,5.967357859531773
123,3.452003532130725,1.385379380961449,3.452003532130726,1.385379380961449,0.061005138658850905,0.0004359335436867526,5.967090301003345
124,3.452003532130725,1.385379380961449,3.4520035321307248,1.385379380961449,0.06199710465407878,0.00044414720983336703,5.966822742474917
125,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.06299706415435216,0.0004531470883338591,5.966555183946488
126,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.06400501624323171,0.00046297493262222424,5.96628762541806
127,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.06502096055632321,0.00047361225827420345,5.966020066889632
128,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.06604489678963783,0.0004850398610611491,5.965752508361204
129,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.06707682469887877,0.0004972378170222355,5.965484949832776
130,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.06811674409861988,0.000510185482529433,5.965217391304348
131,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.06916465486137634,0.00052386149434522,5.96494983277592
132,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.07022055691656726,0.0005382437696730371,5.964682274247491
133,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.07128445024937036,0.0005533095062005028,5.964414715719063
134,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.07235633489946867,0.0005690351821354372,5.964147157190635
135,2.997071716628723,-1.730196991223407,2.997071716628722,-1.730196991223407,0.07343621095968929,0.0005853965562347627,5.963879598662207
136,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.0745240785745341,0.0006023686678263714,5.963612040133779
137,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.07561993793860267,0.000619925836824073,5.963344481605351
138,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.07672378929490718,0.0006380416637357603,5.963076923076923
139,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.07783563293307934,0.0006566890296649487,5.962809364548495
140,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.07895546918746947,0.000675840096305875,5.962541806020067
141,2.997071716628723,-1.730196991223407,2.997071716628723,-1.730196991223407,0.08008329843513762,0.0006954663059323555,5.962274247491639
142,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.08121912109373675,0.0007155383813806331,5.962006688963211
143,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.08236293761928802,0.0007360263260264624,5.961739130434783
144,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.08351474850384813,0.000756899423756704,5.961471571906355
145,2.997071716628723,-1.730196991223407,2.9970717166287226,-1.730196991223407,0.08467455427306872,0.0007781262389357234,5.961204013377927
146,2.997071716628723,-1.730196991223407,2.997071716628722,-1.730196991223407,0.08584235548364785,0.0007996746163669129,5.960936454849499
147,2.997071716628723,-1.730196991223407,2.997071716628722,-1.730196991223407,0.08701815272067356,0.0008215116812496748,5.96066889632107
148,2.997071716628723,-1.730196991223407,2.9970717166287235,-1.730196991223407,0.08820194659485947,0.0008436038391322302,5.960401337792642
149,2.997071716628723,-1.730196991223407,2.997071716628722,-1.730196991223407,0.08939373773967242,0.0008659167758606392,5.960133779264214
150,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.09059352680835216,0.0008884154575244383,5.959866220735786
151,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.0918013144708231,0.0009110641303993294,5.959598662207358
152,2.3980201721684318,0.03333861672964598,2.398020172168432,0.03333861672964598,0.09301710004257821,0.0009338992680627355,5.95933110367893
153,2.3980201721684318,0.03333861672964598,2.3980201721684327,0.03333861672964598,0.09424088343664068,0.0009569254361533033,5.959063545150502
154,2.3980201721684318,0.03333861672964598,2.398020172168431,0.03333861672964598,0.09547266464161555,0.000980143167968911,5.958795986622073
155,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.09671244364608118,0.0010035529968068894,5.958528428093645
156,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.09796022043858926,0.0010271554559640197,5.958260869565217
157,2.3980201721684318,0.03333861672964598,2.398020172168432,0.03333861672964598,0.09921599500766481,0.0010509510787365332,5.957993311036789
158,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.10047976734180618,0.00107494039842011,5.957725752508361
159,2.3980201721684318,0.03333861672964598,2.3980201721684327,0.03333861672964598,0.10175153742948505,0.0010991239483098777,5.957458193979933
160,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.10303130525914644,0.0011235022617004102,5.957190635451505
161,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.1043190708192087,0.0011480758718857265,5.9569230769230765
162,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.10561483409806349,0.0011728453121592894,5.956655518394649
163,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.10691859508407583,0.0011978111158140047,5.956387959866221
164,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.10823035376558406,0.0012229738161422196,5.956120401337793
165,2.3980201721684318,0.03333861672964598,2.398020172168433,0.03333861672964598,0.10955011013089982,0.001248333946435722,5.955852842809365
166,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.11087786416830814,0.0012738920399857385,5.955585284280937
167,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.11221361586606733,0.001299648630082934,5.955317725752509
168,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.11355736521240906,0.0013256042500174104,5.95505016722408
169,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.1149091121955383,0.001351759433078705,5.954782608695652
170,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.1162688568036334,0.0013781147125557895,5.954515050167224
171,2.3980201721684318,0.03333861672964598,2.3980201721684318,0.03333861672964598,0.117636599024846,0.001404670621737069,5.954247491638796
172,2.3980201721684318,0.03333861672964598,2.398020172168432,0.03333861672964598,0.11901233884730107,0.0014314276939103806,5.953979933110368
173,2.3980201721684318,0.03333861672964598,2.3980201721684313,0.03333861672964598,0.12039607625909694,0.0014583864623629926,5.95371237458194
174,2.3980201721684318,0.03333861672964598,2.398020172168432,0.03333861672964598,0.12178781124830525,0.0014855474603816027,5.953444816053512
175,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.12318754380297096,0.0015129112212523372,5.953177257525083
176,2.379127343701821,-0.6065854537933625,2.3791273437018208,-0.6065854537933625,0.1245952739111124,0.0015404782782607498,5.952909698996655
